CO,DISTRICT,LEA ID," Expenditures 
(EDP 365) ", ADA , Avg Cost per ADA ,LEA Type
01,Alameda City Unified,61119," 56,313,182 "," 10,530 "," 5,348 ",Unified
01,Albany City Unified,61127," 16,324,798 "," 2,827 "," 5,775 ",Unified
01,Berkeley Unified,61143," 64,787,152 "," 9,102 "," 7,118 ",Unified
01,Castro Valley Unified,61150," 38,588,405 "," 7,603 "," 5,075 ",Unified
01,Dublin Unified,75093," 22,121,134 "," 3,752 "," 5,896 ",Unified
01,Emery Unified,61168," 5,942,114 ", 935 ," 6,357 ",Unified
01,Fremont Unified,61176," 148,687,158 "," 30,100 "," 4,940 ",Unified
01,Hayward Unified,61192," 115,368,353 "," 21,706 "," 5,315 ",Unified
01,Livermore Valley Joint Unified,61200," 65,361,560 "," 12,908 "," 5,063 ",Unified
01,Mountain House Elementary,61218," 263,704 ", 49 ," 5,352 ",Elementary
01,New Haven Unified,61242," 73,379,620 "," 13,713 "," 5,351 ",Unified
01,Newark Unified,61234," 41,194,408 "," 7,454 "," 5,526 ",Unified
01,Oakland Unified,61259," 320,011,823 "," 51,812 "," 6,176 ",Unified
01,Piedmont City Unified,61275," 16,213,343 "," 2,659 "," 6,098 ",Unified
01,Pleasanton Unified,75101," 66,484,976 "," 12,051 "," 5,517 ",Unified
01,San Leandro Unified,61291," 39,105,286 "," 7,766 "," 5,035 ",Unified
01,San Lorenzo Unified,61309," 58,852,346 "," 10,433 "," 5,641 ",Unified
01,Sunol Glen Unified,75119," 1,208,089 ", 189 ," 6,385 ",Unified
02,Alpine County Unified,61333," 1,789,653 ", 122 ," 14,704 ",Unified
03,Amador County Unified,73981," 22,555,913 "," 4,490 "," 5,024 ",Unified
04,Bangor Union Elementary,61382," 846,688 ", 136 ," 6,232 ",Elementary
04,Biggs Unified,61408," 4,928,219 ", 751 ," 6,565 ",Unified
04,Chico Unified,61424," 65,547,635 "," 13,522 "," 4,847 ",Unified
04,Durham Unified,61432," 7,244,513 "," 1,290 "," 5,614 ",Unified
04,Feather Falls Union Elementary,61440," 360,093 ", 31 ," 11,733 ",Elementary
04,Golden Feather Union Elementary,61457," 1,685,904 ", 237 ," 7,102 ",Elementary
04,Gridley Unified,75507," 10,491,060 "," 2,008 "," 5,225 ",Unified
04,Manzanita Elementary,61499," 1,202,026 ", 236 ," 5,099 ",Elementary
04,Oroville City Elementary,61507," 17,679,770 "," 3,221 "," 5,490 ",Elementary
04,Oroville Union High,61515," 13,948,467 "," 2,417 "," 5,772 ",High School
04,Palermo Union Elementary,61523," 6,513,621 "," 1,244 "," 5,236 ",Elementary
04,Paradise Unified,61531," 26,283,025 "," 5,210 "," 5,044 ",Unified
04,Pioneer Union Elementary,73379," 1,024,523 ", 171 ," 5,984 ",Elementary
04,Thermalito Union Elementary,61549," 8,257,224 "," 1,501 "," 5,502 ",Elementary
05,Bret Harte Union High,61556," 5,502,316 ", 830 ," 6,633 ",High School
05,Calaveras Unified,61564," 20,538,320 "," 3,666 "," 5,602 ",Unified
05,Mark Twain Union Elementary,61572," 4,093,312 ", 747 ," 5,483 ",Elementary
05,Vallecito Union Elementary,61580," 5,544,169 "," 1,002 "," 5,535 ",Elementary
06,Colusa Unified,61598," 7,829,354 "," 1,549 "," 5,055 ",Unified
06,Maxwell Unified,61606," 2,756,857 ", 430 ," 6,416 ",Unified
06,Pierce Joint Unified,61614," 6,105,451 "," 1,128 "," 5,414 ",Unified
06,Williams Unified,61622," 4,899,441 ", 910 ," 5,381 ",Unified
07,Acalanes Union High,61630," 27,911,117 "," 4,913 "," 5,682 ",High School
07,Antioch Unified,61648," 79,936,143 "," 17,282 "," 4,625 ",Unified
07,Brentwood Union Elementary,61655," 17,383,136 "," 3,405 "," 5,106 ",Elementary
07,Byron Union Elementary,61663," 5,205,347 "," 1,077 "," 4,833 ",Elementary
07,Canyon Elementary,61671," 461,405 ", 66 ," 6,965 ",Elementary
07,John Swett Unified,61697," 12,412,377 "," 1,980 "," 6,270 ",Unified
07,Knightsen Elementary,61705," 1,834,642 ", 350 ," 5,238 ",Elementary
07,Lafayette Elementary,61713," 17,749,412 "," 3,393 "," 5,231 ",Elementary
07,Liberty Union High,61721," 18,187,408 "," 3,153 "," 5,769 ",High School
07,Martinez Unified,61739," 21,463,428 "," 4,121 "," 5,209 ",Unified
07,Moraga Elementary,61747," 10,459,757 "," 1,870 "," 5,593 ",Elementary
07,Mt. Diablo Unified,61754," 179,666,063 "," 34,598 "," 5,193 ",Unified
07,Oakley Union Elementary,61762," 19,944,428 "," 4,017 "," 4,965 ",Elementary
